id,title,price,currency_id,ITEM_CONDITION,SINGLE_OWNER,BRAND,DOORS,ENGINE,FUEL_TYPE,KILOMETERS,MODEL,TRANSMISSION,TRIM,VEHICLE_YEAR,ENGINE_DISPLACEMENT,LINE,PASSENGER_CAPACITY,POWER,TRACTION_CONTROL,HAS_AIR_CONDITIONING,CYLINDERS,ENGINE_MANUFACTURER,LOADING_CAPACITY,LENGTH,MCO1744-CILIND,MCO1744-TRAC,MCO1744-COMBUS,MCO1744-KMTS
MCO866551977,Ford Fiesta ,47800000,COP,Usado,Sí,Ford,4,1.6,Gasolina,59638 km,Fiesta,Mecánica,1.6 Sportback Titanium,2017,1.6 L,g7,5,120 hp,Delantera
MCO866564332,Chevrolet Spark,18450000,COP,Usado,,Chevrolet,4,1.0,Gasolina,102400 km,Spark GT,Mecánica,1.0,2012,1000 L,,,,Delantera
MCO865030052,Nissan Qashqai Exclusive 2.0cc At Aa 4x4,82000000,COP,Usado,Sí,Nissan,5,2000,Gasolina,78000 km,Qashqai,Automática,Exclusive 2.0cc AT AA 4X4,2016,2000 L,,,,4x4,Sí
MCO864584510,Bmw X1 Xdrive 2.8i Executive,57000000,COP,Usado,No,BMW,5,3.0,Gasolina,138000 km,X1,Automática,3.0 E84 Xdrive 28i Executive,2011,3 L,,5,265 hp,4x4,Sí
MCO864583400,Citroen C4 Cactus Shein 2021,76000000,COP,Usado,Sí,Citroën,5,1.600,Gasolina,13000 km,C4,Automática,CACTUS,2021,1600 L,,,,4x2,Sí
MCO864583038,Ford Ranger Xls 3.2cc Mt Aa 4x4,146000000,COP,Usado,,Ford,4,3200,Diésel,8700 km,Ranger,Mecánica,XLS MT AA 4X4,2022,3200 L,,,,4x4,Sí
MCO864226558,Nissan Np300 Frontier ,92000000,COP,Usado,Sí,Nissan,4,2500,Gasolina,17500 km,Frontier,Mecánica,MECANICA,2019,,,,,4x2,Sí
MCO864197961,Kia,34900000,COP,Usado,,Kia,5,1.2,Gasolina,101000 km,Picanto,Mecánica,1.25 Ion Xtrem,2015,1.2 L,,5,87 hp,Delantera,Sí
MCO863607843,Nissan Juke 1.6cc Mt Aa ,61900000,COP,Usado,No,Nissan,5,1.6,Gasolina,75900 km,Juke,Mecánica,1.6l,2017,1.6 L,,5,188 hp,4x2,Sí
MCO863421909,Mazda 3 All New ,46000000,COP,Usado,,Mazda,4,2000,Gasolina,41000 km,3 ALL NEW,Automática,ALL NEW,2014,2000 L,,,,4x2,Sí
MCO863432642,Renault Twingo Dynamique,17800000,COP,Usado,,Renault,3,1.2,Gasolina,88000 km,Twingo,Mecánica,1.2 Access +,2010,1150 cc,,5,75 hp,Delantera,Sí
MCO863023237,Mazda ,90000000,COP,Usado,,Mazda,5,2.0,Gasolina,63000 km,CX-5,Automática,2.0 Touring Camioneta,2017,2 L,,5,152 hp,4x4,Sí
MCO862944151,Chevrolet Traverse Lt At 3600cc 4x4,88000000,COP,Usado,,Chevrolet,5,3600,Gasolina,48000 km,Traverse,Automática,LT AT 3600CC,2017,,,,,4x4,Sí
MCO862924495,Wolkswagen,36500000,COP,Usado,No,Volkswagen,4,2.0,Gasolina,63000 km,Jetta,Mecánica,2.0 Trendline 4 p 114 hp,2014,2 L,v,5,114 hp,Delantera,Sí
MCO862924465,Hyundai Tucson 2.0 Gl Premium,86500000,COP,Usado,No,Hyundai,5,2.0,Gasolina,67000 km,Tucson,Automática,2.0 Gl Premium,2018,2 L,,5,,4x2,Sí
MCO862641912,Hyundai Accent 1600cc Mt ,47900000,COP,Usado,,Hyundai,4,,Gasolina,79700 km,Accent,Mecánica,1600CC MT,2017,1600 cc,,,,,
MCO862634839,Ford Fiesta Hatchback Mt 1600cc,45000000,COP,Usado,,Ford,5,1600,Gasolina,30000 km,Fiesta,Mecánica,1.6 Hatchback,2017,,,,,,Sí
MCO860957167,Great Wall,45500000,COP,Usado,,Great Wall,4,2.4,Gasolina,85000 km,Wingle 5,Mecánica,2.4l,2014,2.4 L,,2,134 hp,4x4,
MCO860861981,Toyota,185000000,COP,Usado,,Toyota,5,3.0,Diésel,95000 km,Prado,Automática,3.0 Tx-l Fl 161 hp,2015,3 L,,5,161 hp,4x4,Sí
MCO860311928,Land Rover Range Rover Evoque At 2000cc ,235000000,COP,Usado,Sí,Land Rover,5,2000,Gasolina,4801 km,Range Rover,Automática,Evoque AT 2000CC,2021,,,,,4x4,Sí
MCO860122281,Toyota Land Cruiser Fzj Mt 4.5 4x4,95000000,COP,Usado,,Toyota,4,4500,Gasolina,450000 km,Land Cruiser,Mecánica,4.5 FZJ,1998,,,,,4x4,Sí
MCO860096554,Ford F-150,148000000,COP,Usado,Sí,Ford,4,3.5,Gasolina,85000 km,F-150,Automática,F-150,2016,6 L,,,,4x4,
MCO859876763,Toyota Fortuner Mt 3000cc 4x4,128000000,COP,Usado,,Toyota,5,3000,Diésel,97000 km,Fortuner,Mecánica,MT 3000CC 4X4,2014,,,,,4x4,Sí
MCO859272288,Toyota 4 Runner ,170000000,COP,Usado,Sí,Toyota,5,4.0,Gasolina,95500 km,4Runner,Automática,4.0 Sr5 Fl Automática,2016,4 L,,5,275 hp,4x4,Sí
MCO858909643,Chevrolet,86000000,COP,Usado,Sí,Chevrolet,5,L4H*203154805*,Gasolina,8402 km,Tracker,Automática,1.2,2021,1199 L,,,,,Sí
MCO858511995,Toyota Hilux 3.0 Srv,106000000,COP,Usado,No,Toyota,4,3.0,Diésel,197000 km,Hilux,Automática,SRV,2011,2982 cc,g7,2,,4x4,Sí
MCO858256487,Subaru Forester 2.5 Eyesight,134000000,COP,Usado,,Subaru,5,,Gasolina,32500 km,Forester,Automática,2.5 Eyesight,2019,2500 cc,,,,4x4,Sí
MCO858131847,Nissan Frontier 4x4,65500000,COP,Usado,No,Nissan,4,2.4,Gasolina,68000 km,Frontier,Mecánica,4x4,2011,2389 cc,,2,,4x2,Sí
MCO857674258,Mazda 3 2.0cc At Aa ,26500000,COP,Usado,No,Mazda,5,2000,Gasolina,152000 km,3,Automática,2.0cc AT AA,2007,2000 L,,,,,Sí
MCO857737143,Skoda,32000000,COP,Usado,,Skoda,5,1600,Gasolina,105420 km,Fabia,Mecánica,1.6 Ambiente,2013,4 L,,,,Delantera,Sí
MCO857697978,Toyota Fortuner Sr5 At 2700cc 4x4,93000000,COP,Usado,,Toyota,5,2700,Gasolina,124500 km,Fortuner,Automática,Sr5 AT 2700CC 4X4,2011,,,,,4x4,Sí
MCO857672202,Mitsubishi Montero New 3.2cc At Aa 4x4,80000000,COP,Usado,Sí,Mitsubishi,5,3200,Diésel,96000 km,Montero,Automática,New 3.2cc AT AA 4X4,2008,3200 L,,,,4x4,Sí
MCO857566896,Renault Master Fg Luxe 2500cc Panel Mt Aa,57500000,COP,Usado,,Renault,4,,Diésel,75020 km,Master,Mecánica,FG LUXE 2500CC PANEL MT AA,2012,2500 cc,,,,,Sí
MCO857572898,Ssangyong Korando C D20t 4x4 2000cc At Aa,60000000,COP,Usado,Sí,Ssangyong,5,,Diésel,86000 km,Korando,Automática,C D20T 4X4 2000CC AT AA,2015,2000 cc,,,,4x4,Sí
MCO857065997,Kia Sportage Fq 2.0cc At Aa 4x4,34000000,COP,Usado,Sí,Kia,5,2000,Gasolina,158000 km,Sportage,Automática,FQ 2.0cc AT AA 4X4,2005,2000 L,,,,4x4,Sí
MCO856570063,Ssanyong,32500000,COP,Usado,,Ssangyong,5,2.3,Gasolina,146000 km,Actyon,Mecánica,2.3 A230 4x2,2012,2295 cc,,5,150 hp,4x2,Sí
MCO856099337,Audi Q5 At 2000cc Turbo,62000000,COP,Usado,,Audi,5,2000Turbo,Gasolina,112000 km,Q5,Automática,AT 2000CC Turbo,2010,,,,,4x4,Sí
MCO855111871,Mazda Bt-50 4x4 2.6,57500000,COP,Usado,,Mazda,4,2600,Gasolina,122000 km,BT-50,Mecánica,2.6,2012,,,,,4x4,Sí
MCO854863402,Volvo Xc40 T4 2.0 Momentum Se,165000000,COP,Usado,Sí,Volvo,5,2.0,Gasolina,7000 km,XC40 T4 2.0,Automática,MOMENTUN SE,2021,,,,,4x2,Sí
MCO854201384,Nissan Versa Mt 1600cc,49900000,COP,Usado,,Nissan,4,1600,Gasolina,33800 km,Versa,Mecánica,MT 1600CC,2019,,,,,,Sí
MCO853613504,Ford Explorer Limited 3.5 Automatica,75990000,COP,Usado,,Ford,5,3.5,Gasolina,141000 km,Explorer,Automática,3.5 Limited,2013,3496 cc,,5,290 hp,4x4,Sí
MCO853141291,Honda Pilot Exl At,100000000,COP,Usado,No,Honda,5,3500,Gasolina,99000 km,2015,Automática,PILOT EXL AT,2015,,,,,4x4,Sí
MCO853115130,Mitsubishi,79900000,COP,Usado,,Mitsubishi,5,3.0,Gasolina,144000 km,Montero,Automática,3.0 V13,2011,2972 cc,,5,148 hp,4x4,Sí
MCO852398416,Ford Escape St Line 4x4 2.0,108000000,COP,Usado,,Ford,5,2000,Gasolina,35700 km,Escape,Automática,ST LINE,2019,,,,,4x4,Sí
MCO852134471,Chevrolet Cruze Ls Mt 1800cc,44500000,COP,Usado,,Chevrolet,4,1800,Gasolina,63011 km,Cruze,Mecánica,1.8 Ls,2016,,,,,,Sí
MCO851257803,Toyota 4 Runner 4x4 4.0,198000000,COP,Usado,,Toyota,5,4000,Gasolina,33000 km,4Runner,Automática,4.0,2019,,,,,4x4,Sí
MCO849275136,Dodge Journey Se At 2400cc,48000000,COP,Usado,,Dodge,5,2400,Gasolina,127000 km,Journey,Automática,SE AT 2400CC,2012,,,,,4x2,Sí
MCO849116348,Hyundai Accent 1.6cc Mt Aa ,44250000,COP,Usado,Sí,Hyundai,4,1.6,Gasolina,42800 km,Accent,Mecánica,1.6l 4 p,2016,1.6 L,,5,122 hp,Delantera,Sí
MCO849125028,Mazda Bt-50 4x4 2.6,57000000,COP,Usado,,Mazda,4,2.6,Gasolina,129000 km,BT-50,Mecánica,2.6,2011,,,,,4x4,Sí
MCO848144985,Volkswagen Amarok Highline,82500000,COP,Usado,,Volkswagen,4,2000,Diésel,170000 km,Amarok,Automática,2.0,2013,,,,,4x4,Sí
MCO847683764,Toyota Hilux 2019 2.8 Diesel,179900000,COP,Usado,,Toyota,4,2.8,Diésel,77000 km,Hilux,Automática,2.8,2019,2.8 L,,5,175 hp,4x4,Sí
MCO847300894,Mazda 3 Grand Touring At 2000cc,68000000,COP,Usado,,Mazda,4,2000,Gasolina,83000 km,3,Automática,Grand Touring AT 2000CC,2017,,,,,,Sí
MCO857063480,Bmw Serie 1 118 At 1500cc Turbo,115000000,COP,Usado,,BMW,5,1500,Gasolina,13000 km,Serie 1,Automática,118 AT 1500CC,2020,,,,,,Sí
MCO858055592,Volvo Xc60 T6 Inscription At 2.0 Turbo Awd,169900000,COP,Usado,,Volvo,5,2000 Turbo,Gasolina,27000 km,XC60,Automática,T6 Inscription At 2.0 Turbo AWD,2019,2000 cc,,,,4x4,Sí
MCO855084611,Mazda Cx5 Touring At 2000cc 4x2,69000000,COP,Usado,,Mazda,5,2000,Gasolina,112130 km,CX-5,Automática,Touring AT 2000CC 4X2,2014,,,,,4x2,Sí
MCO854584904,Audi,111000000,COP,Usado,Sí,Audi,2,2.0,Gasolina,49850 km,TT,Automática,2.0 Tfsi Sport S-tronic Coupé,2016,2 L,,2,230 hp,4x4,Sí
MCO855257627,Renault Sandero Rs,50000000,COP,Usado,,Renault,5,2.0,Gasolina,42300 km,Sandero,Automática,2.0 Rs,2017,2 L,,5,145 hp,Delantera,Sí
MCO850452097,Daihatsu Delta V126l Hutec,44000000,COP,Usado,,Daihatsu,2,,Diésel,229160 km,Delta,Mecánica,V126L HUTEC,2007,4100 cc,,,,4x2,
MCO866382204,Jeep Cherokee Limited At 3200cc 4x4,88500000,COP,Usado,,Jeep,5,3200,Gasolina,82000 km,Cherokee,Automática,Limited AT 3200CC 4X4,2015,,,,,4x4,Sí
MCO864164736,Toyota Land Cruiser 1995,85000000,COP,Usado,No,Toyota,5,4.5,Diésel,362500 km,Burbuja,Mecánica,Vx japonesa,1995,4500 L,,5,212 hp,4x4,Sí
MCO851496213,Suzuki Vitara Live,62000000,COP,Usado,Sí,Suzuki,5,1.600 cc,Gasolina,92000 km,Vitara,Automática,live,2017,4 L,,,,4x4,Sí
MCO851490428,Mercedes Benz Clase E 200 At 2000cc,88000000,COP,Usado,,Mercedes-Benz,4,2000,Gasolina,26773 km,Clase E,Automática,200 AT 2000CC,2016,,,,,,
MCO849113980,Bmw Serie 2 240 Im Automovik Coupe,134900000,COP,Usado,,BMW,4,3000,Gasolina,28800 km,Serie 2,Automática,i M Automovik Coupe,2018,,,,,,Sí
MCO851516503,Hyundai Genesis Mt 2000cc,52000000,COP,Usado,No,Hyundai,2,2000 TURBO,Gasolina,103000 km,Genesis,Mecánica,2.0 Coupe,2010,,,,,,Sí
MCO862613860,Jmc Tiger 7 2019 Placa Publica,82000000,COP,Usado,Sí,JMC,4,2800,Diésel,60000 km,Tiger 7,Mecánica,2019,2019,,,,,4x4,Sí
MCO865938227,Kia Picanto Ion Mt 1000cc,40800000,COP,Usado,,Kia,5,1000,Gasolina,18000 km,Picanto,Mecánica,ION MT 1000CC,2021,,,,,,Sí
MCO865255742,Mazda 3 Grand Touring At 2000cc,77500000,COP,Usado,,Mazda,4,2000,Gasolina,33000 km,3,Automática,Grand Touring AT 2000CC,2018,,,,,,Sí
MCO865310201,Mazda 3 Grand Touring At 2000cc,86000000,COP,Usado,,Mazda,4,2000,Gasolina,21400 km,3,Automática,2.0 Grand Touring,2020,,,,,,Sí
MCO863487614,Chevrolet ,20000000,COP,Usado,,Chevrolet,5,1.4,Gasolina,151600 km,Aveo,Mecánica,1.4 Five,2008,1399 cc,,5,93 hp,Delantera,Sí
MCO863077588,Chevrolet Sail Ltz Mt 1400c,35500000,COP,Usado,,Chevrolet,4,1400,Gasolina,32800 km,Sail,Mecánica,LTZ MT 1400CC,2018,,,,,,Sí
MCO861371142,Nissan Np300 Mt 2400cc,54000000,COP,Usado,,Nissan,4,2400,Gasolina,113000 km,NP300,Mecánica,MT 2400CC 4X2,2013,,,,,4x2,
MCO861019176,Chevrolet Dimax,55800000,COP,Usado,Sí,Chevrolet,4,3.0,Diésel,115000 km,dimax,Mecánica,dimax,2012,4 L,,,,4x2,
MCO860615552,Toyota ,57000000,COP,Usado,,Toyota,5,2.7,Gasolina,154000 km,Prado,Mecánica,2.7 Sumo,2007,2700 cc,,5,150 hp,4x4,Sí
MCO860590766,Mazda 2 Touring Blindado At 1500cc,105000000,COP,Usado,,Mazda,5,1500,Gasolina,13500 km,2,Automática,Touring Blindado AT 1500CC,2021,,,,,,Sí
MCO860319124,Mazda,92900000,COP,Usado,,Mazda,5,2.0,Gasolina,49000 km,CX-5,Automática,2.0 Touring Camioneta,2018,2 L,,5,152 hp,4x4,Sí
MCO860059786,Toyota Fortuner 2.4 4x2,175000000,COP,Usado,Sí,Toyota,4,2.4,Diésel,66000 km,Fortuner,Automática,2.4,2020,2400 L,,5,,4x2,Sí
MCO860072149,Renault Twingo Dinamique Mt 1200cc,16900000,COP,Usado,,Renault,3,1200,Gasolina,204385 km,Twingo,Mecánica,1.2 Dynamique,2008,,,,,,Sí
MCO859162649,Toyota Hilux At 2800cc 4x4,190000000,COP,Usado,,Toyota,4,2800,Diésel,63000 km,Hilux,Automática,AT 2800CC 4X4,2019,,,,,4x4,Sí
MCO858969424,Mazda B-2600 4x4,34500000,COP,Usado,Sí,Mazda,4,2.6,Gasolina,238853 km,B2600,Mecánica,2.6 B2600,1997,2.6 L,,2,127 hp,4x4,Sí
MCO857576891,Hyundai I25 1.6 Premium ,49900000,COP,Usado,Sí,Hyundai,4,1.6,Gasolina,46500 km,I25,Automática,1.6 Premier,2017,,,,,Delantera,Sí
MCO857244886,Renault Clio Campus Mt 1150cc,26900000,COP,Usado,,Renault,5,1150,Gasolina,70000 km,Clio,Mecánica,Campus MT 1150CC,2015,,,,,,Sí
MCO855955305,Mazda Bt-50 2013,63500000,COP,Usado,Sí,Mazda,4,2.5,Diésel,118000 km,BT-50,Mecánica,2.5 B25d49,2013,2499 cc,,2,141 hp,4x4,Sí
MCO855586693,Nissan Frontier ,58000000,COP,Usado,Sí,Nissan,4,2.5,Diésel,188000 km,Frontier,Mecánica,4x2 diesel,2014,2500 L,,,,4x2,
MCO855612633,Mazda 2 Sport Grand Touring At 1500cc,59000000,COP,Usado,,Mazda,5,1500,Gasolina,41000 km,2,Automática,1.5 Sport Grand Touring,2017,,,,,,Sí
MCO855495165,Hyundai Tucson Ix-35 2.0l 4x4,55000000,COP,Usado,Sí,Hyundai,5,2.0,Diésel,113000 km,TUCSON IX-35,Automática,2.0l 4x4,2011,1998 cc,,5,164 hp,4x4,Sí
MCO854751518,Volkswagen Saveiro Mt 1600cc,48000000,COP,Usado,,Volkswagen,2,1600,Gasolina,26000 km,Saveiro,Mecánica,MT 1600CC,2020,,,,,,Sí
MCO853934863,Mazda 3 Touring At 2000cc,83000000,COP,Usado,,Mazda,4,2000,Gasolina,23000 km,3,Automática,Touring AT 2000CC,2020,,,,,,Sí
MCO853889882,Daihatsu,59900000,COP,Usado,,Daihatsu,5,1.5,Gasolina,143000 km,Terios,Automática,1.5 Okii,2015,1.5 L,,5,104 hp,4x4,Sí
MCO853646945,Dodge Durango Limited 3.6cc At Aa 4x4,83000000,COP,Usado,Sí,Dodge,7,3.6,Gasolina,86000 km,Durango,Automática,3.6 Limited,2014,36 L,,5,290 hp,4x4,Sí
MCO852510373,Mg Morris Garages,64000000,COP,Usado,Sí,MG,5,,Gasolina,29000 km,Morris Garages,Mecánica,SZ,2019,,,,,,Sí
MCO852145414,Hyundai Tucson Ix 35 Gl Mt 2000cc 4x2,51000000,COP,Usado,,Hyundai,5,2000,Gasolina,130000 km,TUCSON IX-35,Mecánica,GL MT 2000CC 4X2,2013,,,,,4x2,Sí
MCO851610182,Mazda 2017,127000000,COP,Usado,,Mazda,5,,Gasolina,46000 km,CX,Automática,9,2017,,,,,,
MCO851660915,Dodge 2009,41500000,COP,Usado,,Dodge,5,,Gasolina,85400 km,Journey,Automática,2009,2009,,,,,,
MCO851578272,Chevrolet Sail Ltz Mt 1400cc,36000000,COP,Usado,Sí,Chevrolet,4,1400,Gasolina,104000 km,Sail,Mecánica,LTZ MT 1400CC,2018,,,,,,Sí
MCO851486939,Toyota Fzj 73,70000000,COP,Usado,No,Toyota,3,,Gasolina,190024 km,Fzj 73,Mecánica,CAMPERO,1996,,,,,4x4,Sí
MCO849622088,Mazda 3 Touring Skyactive Hatchback At 2000cc,59900000,COP,Usado,,Mazda,5,2000,Gasolina,65600 km,3,Automática,Touring SkyActive HB AT 2000CC,2016,,,,,,Sí
MCO848145081,Mini Cooper,65000000,COP,Usado,,Mini,2,1.5,Gasolina,56400 km,Cooper,Automática,1.5 F55 Salt,2015,1.5 L,,5,136 hp,Delantera,Sí
MCO860044158,Toyota Hilux At 3000cc 4x4,108000000,COP,Usado,,Toyota,4,3000,Diésel,175000 km,Hilux,Automática,AT 3000CC 4X4,2011,,,,,4x4,Sí
MCO851244167,Bmw 530i,139900000,COP,Usado,,BMW,4,2.0,Gasolina,47198 km,Serie 5,Automática,2.0 530i G30,2018,1998 cc,,5,252 hp,Trasera,Sí
MCO864165871,Audi Q5 Tdi Quattro Ambition At 2000cc Turbo,150000000,COP,Usado,No,Audi,5,2000 TURBO,Gasolina,14000 km,Q5,Automática,2.0 Tdi Quattro Ambition,2019,,,,,4x4,Sí
MCO851101765,Bmw Serie 1 120 I Cabrio,66000000,COP,Usado,No,BMW,4,2000,Gasolina,68564 km,Serie 1,Automática,120 i cabrio,2009,,,,,,Sí
MCO865521926,Nissan D22,34900000,COP,Usado,,Nissan,2,2400,Gasolina,165000 km,D22,Mecánica,NP300,2012,,,,,4x2,Sí
MCO865264541,Mazda Cx-5 Touring Lx 2.0cc At Aa 4x4,80000000,COP,Usado,Sí,Mazda,5,2000,Gasolina,215540 km,CX-5,Automática,Touring LX 2.0cc AT AA 4X4,2016,2000 L,,,,4x4,Sí
MCO865019224,Kia ,54500000,COP,Usado,Sí,Kia,5,1.250,Gasolina,9000 km,Picanto,Mecánica,Gti line,2022,,,,,Delantera,Sí
MCO865038254,Kia ,49500000,COP,Usado,Sí,Kia,5,1.2,Gasolina,50000 km,Picanto,Mecánica,1.2 X-line,2019,1.2 L,,5,83 hp,Delantera,Sí
MCO864299794,Mazda 3 Touring At 2000cc,68900000,COP,Usado,,Mazda,4,2000,Gasolina,40000 km,3,Automática,2.0 Touring AT 2000CC,2018,,,,,,Sí
MCO863021059,Volkswagen Jetta 1.8 Gli,46000000,COP,Usado,Sí,Volkswagen,4,1.8,Gasolina,52448 km,Jetta,Mecánica,1.8 Gli,2014,1.8 L,v,5,,Delantera,Sí
MCO860578696,Audi,78000000,COP,Usado,Sí,Audi,4,2.0,Gasolina,74000 km,A4,Automática,2.0 Tfsi Ambition,2017,2 L,,5,188 hp,Delantera,Sí
MCO859231469,Chevrolet Chevy 1.6cc Mt Aa ,16800000,COP,Usado,Sí,Chevrolet,5,1600,Gasolina,198000 km,Chevy,Mecánica,1.6cc MT AA,2008,1600 L,,,,4x2,Sí
MCO855599605,Ford F-150 Lariat ,162000000,COP,Usado,Sí,Ford,2,3.5,Gasolina,91000 km,F-150,Automática,3.5 Lariat,2017,3.5 L,g13,2,375 hp,4x4,
MCO853065025,Kia Rio Ub Ex Mt 1250cc,42500000,COP,Usado,,Kia,4,1250,Gasolina,45000 km,Rio,Mecánica,UB EX MT 1250CC,2015,,,,,,Sí
MCO850971928,Renault Duster 2.0 Dynamique 4x2,64000000,COP,Usado,Sí,Renault,5,2.0,Gasolina,11000 km,Duster,Automática,2.0 Dynamique 4x2,2021,2 L,,5,,4x2,Sí
MCO847153463,Honda Civic 2.0 Si,52000000,COP,Usado,,Honda,3,2000,Gasolina,130000 km,Civic,Mecánica,2.0 Si,2008,2000 L,,,,4x2,
MCO865001884,Nissan,48000000,COP,Usado,,Nissan,5,1.6,Gasolina,56000 km,March,Automática,1.6 Advance,2019,1.6 L,,5,106 hp,Delantera,Sí
MCO861855736,Mazda Bt-50,58000000,COP,Usado,Sí,Mazda,4,2600,Gasolina,100000 km,BT-50,Mecánica,BT-50,2012,,,,,4x4,
MCO860961763,Toyota Prado Tx.l,127000000,COP,Usado,,Toyota,5,2.7,Gasolina,127000 km,Prado,Automática,2.7 Tx-l Sumo,2011,2694 cc,,5,161 hp,4x4,Sí
MCO854858962,Mini Cooper  2019,115000000,COP,Usado,,Mini,2,2.0,Gasolina,20700 km,Cooper,Automática,2.0 F57 S Cabriolet Chili,2019,2 L,,2,192 hp,Delantera,Sí
MCO853028827,Toyota,50300000,COP,Usado,,Toyota,2,2.700,Gasolina,205000 km,Hilux,Mecánica,2.7 wt,2007,,,,,4x2,
MCO855092394,Nissan,45000000,COP,Usado,,Nissan,4,1.6,Gasolina,30000 km,March,Mecánica,1.6 Sense,2019,1.6 L,,5,106 hp,Delantera,Sí
MCO860321842,Volkswagen Amarok Trendline T Mt 2000cc 4x4,102500000,COP,Nuevo,Sí,Volkswagen,4,,Diésel,0 km,Amarok,Mecánica,Trendline T MT 2000CC 4X4,2020,2000 cc,,,,4x4,Sí
MCO851149542,Land Rover Range Rover Sport,160000000,COP,Usado,Sí,Land Rover,4,,Gasolina,69200 km,Range Rover,Automática secuencial,Sport,2012,4999 cc,,,,,Sí
MCO853315043,Dodge,72000000,COP,Usado,No,Dodge,5,2.4,Gasolina,28800 km,Journey,Automática,2.4 Se Fl,2018,2.4 L,,5,173 hp,4x2,Sí
MCO866538688,Chevrolet Spark,25000000,COP,Usado,,Chevrolet,4,1.0,Gasolina,58000 km,Spark,Mecánica,1.0,2017,,,,,Delantera,
MCO866521949,Mercedes Benz ,85000000,COP,Usado,,Mercedes-Benz,4,1.6,Gasolina,44000 km,Clase C,Automática,1.6,2015,1.6 L,,5,156 hp,Trasera,Sí
MCO866583085,Volkswagen T.cross Comfortline At 2022,101990000,COP,Nuevo,,Volkswagen,5,1.0,Gasolina,0 km,T.Cross,Automática,ComfortLine AT 2022,2022,1000 cc,,,,4x2,Sí
MCO866413245,Ford Bronco Bigbend 2022 Y.l Av68 Lista Para Este Mes,144990000,COP,Nuevo,,Ford,5,1500,Gasolina,0 km,Bronco,Automática,BIGBEND,2022,1500 L,,,,4x4,Sí
MCO866372852,Toyota Land Cruiser 2005 4.7 Vxr Uzj100 Imperial,126900000,COP,Usado,No,Toyota,5,4.7,Gasolina,130200 km,Land Cruiser,Mecánica,4.7 Vxr Uzj100 Imperial,2005,4700 cc,,5,234 hp,4x4,Sí
MCO866404894,Toyota,88900000,COP,Usado,,Toyota,5,2.7,Gasolina,191000 km,Fortuner,Automática,2.7l 4x2,2012,2694 cc,,5,158 hp,4x2,Sí
MCO866404811,Suzuki Jimny,92690000,COP,Nuevo,,Suzuki,3,1.5,Gasolina,0 km,Jimny,Mecánica,NEW JIMNY,2022,1500 cc,,,,4x4,Sí
MCO866518478,Hyundai Tucson Gl,36800000,COP,Usado,,Hyundai,5,2.0,Gasolina,76000 km,Tucson,Mecánica,2.0 Gl,2007,1975 cc,,5,142 hp,4x4,Sí
MCO866384295,Toyota 4runner Sr5,200000000,COP,Usado,,Toyota,5,4.0,Gasolina,74000 km,4Runner,Automática,4.0 Sr5 Fl,2017,4 L,,5,275 hp,4x4,Sí
MCO866383820,Ford Escape ,93800000,COP,Usado,,Ford,5,2.0,Gasolina,60000 km,Escape,Automática,2.0 Titanium 245 hp,2017,2 L,,5,245 hp,4x4,
MCO866377276,Toyota Rav4 2007 2.4 Imperial,50000000,COP,Usado,,Toyota,5,2.4,Gasolina,101000 km,RAV4,Automática,2.4 Imperial,2007,2362 cc,,5,168 hp,4x4,Sí
MCO866123163,"Nissan March, 2015, Active, 1600 Cc",31700000,COP,Usado,No,Nissan,5,1.6,Gasolina,84000 km,March,Mecánica,1.6 Active,2015,1.6 L,,5,106 hp,Delantera,Sí
MCO866046407,Chevrolet Aveo 1.4 Gti Limited,22900000,COP,Usado,No,Chevrolet,3,1.4,Gasolina,103000 km,Aveo,Mecánica,1.4 Gti Limited,2007,1399 cc,,5,,Delantera,Sí
MCO866127672,Audi Q5 Turbo S Tronic 3.2 Mod 2012,74000000,COP,Usado,,Audi,5,3.2,Gasolina,83300 km,Q5,Automática,3.2 Fsi S-tronic Quattro,2012,3197 cc,,5,270 hp,4x4,Sí
MCO866039666,Kia Picanto 2015 1.25 Ion Xtrem,35400000,COP,Usado,,Kia,5,1.2,Gasolina,68000 km,Picanto,Automática,1.25 Ion Xtrem,2015,1.2 L,,5,87 hp,Delantera,Sí
MCO866064133,Mercedes Benz,68300000,COP,Usado,Sí,Mercedes-Benz,4,1.8,Gasolina,43500 km,Clase C,Automática,1.8 Cgi Elegance,2012,1.8 L,,5,184 hp,Trasera,Sí
MCO866121694,Toyota Burbuja 4.5 Autana,109900000,COP,Usado,,Toyota,5,4.5,Gasolina,114200 km,Burbuja,Mecánica,Burbuja 4.5 Autana,2002,,,,,4x4,Sí
MCO865986875,Chevrolet Aveo Gt ,28500000,COP,Usado,,Chevrolet,5,,Gasolina,84567 km,Aveo,Mecánica,GT,2015,,,,,,Sí
MCO866005110,Chevrolet Spark ,18500000,COP,Usado,,Chevrolet,4,1000,Gasolina,112500 km,Spark,Mecánica,1.0,2012,1000 L,,,,,
MCO865986659,Dfsk ,45000000,COP,Usado,Sí,DFM/DFSK,2,1.5,Gasolina,109000 km,VAN CARGA,Mecánica,1.5 Cargo,2019,1.5 L,,2,117 hp,Delantera,Sí
